Algoritmo,Iteraciones,Largo del Camino (km),Velocidad Promedio (km/h),Tiempo de Viaje (min),Tiempo Total (s)
dijkstra,3131,4.760346999999999,40.0,7.140520499999999,0.047754526138305664
a_star,827,4.760346999999999,40.0,7.140520499999999,0.024533748626708984
dijkstra,2937,6.598946,47.86516853932584,8.271918225352112,0.045374155044555664
a_star,1137,6.598946,47.86516853932584,8.271918225352112,0.028659343719482422
dijkstra,2116,5.040383,50.294117647058826,6.0130884912280695,0.0375673770904541
a_star,1190,5.045406000000002,50.9375,5.943054920245401,0.02974414825439453
dijkstra,188,1.0989229999999999,40.0,1.6483844999999997,0.016890764236450195
a_star,48,1.269162,40.0,1.9037429999999997,0.016000032424926758
dijkstra,4135,8.600838000000003,42.04081632653061,12.27498238834952,0.059069156646728516
a_star,2149,8.44725,40.851063829787236,12.406898437499999,0.03951311111450195
dijkstra,4096,9.464110999999999,48.23529411764706,11.77243075609756,0.05670452117919922
a_star,2379,9.464110999999999,48.23529411764706,11.77243075609756,0.042060136795043945
dijkstra,1229,5.662383999999999,42.69230769230769,7.95794508108108,0.028198719024658203
a_star,565,5.35522,40.72727272727273,7.889386607142858,0.022780418395996094
dijkstra,1152,3.68152,54.791666666666664,4.031474372623574,0.025691747665405273
a_star,646,3.2676570000000007,40.0,4.901485500000001,0.022721529006958008
dijkstra,2808,5.298125,47.03125,6.7590697674418605,0.044084787368774414
a_star,955,5.298125,47.03125,6.7590697674418605,0.025930166244506836
dijkstra,1468,4.533493,52.72727272727273,5.158802379310345,0.03128933906555176
a_star,560,4.428058000000001,40.0,6.642087000000001,0.022434234619140625
dijkstra,1555,3.6667859999999997,40.0,5.500178999999999,0.03399825096130371
a_star,455,3.6640279999999996,39.34782608695652,5.5871366187845295,0.02315688133239746
dijkstra,4253,11.619161,41.77215189873418,16.689340345454543,0.0626673698425293
a_star,1586,11.540160000000002,40.74074074074074,16.995508363636368,0.03707480430603027
dijkstra,1941,5.830057,42.64150943396226,8.203354539823009,0.03799772262573242
a_star,611,5.522892999999999,40.714285714285715,8.139000210526314,0.0222623348236084
dijkstra,4201,8.168111000000003,40.0,12.252166500000005,0.05681419372558594
a_star,1549,8.168111000000003,40.0,12.252166500000005,0.03417539596557617
dijkstra,231,0.9431289999999999,40.0,1.4146934999999998,0.019245147705078125
a_star,62,0.978966,40.0,1.4684490000000001,0.016153812408447266
dijkstra,437,1.2623670000000002,40.0,1.8935505000000006,0.01863408088684082
a_star,47,1.2623670000000002,40.0,1.8935505000000006,0.016318082809448242
dijkstra,2961,7.334652000000001,53.0,8.30337962264151,0.04661369323730469
a_star,816,7.334652000000001,53.0,8.30337962264151,0.02405571937561035
dijkstra,2860,10.155488,43.06122448979592,14.150300815165878,0.04247426986694336
a_star,769,10.037735000000001,40.0,15.056602500000002,0.026005268096923828
dijkstra,2611,4.890946,41.25,7.114103272727272,0.04223442077636719
a_star,973,4.700203999999999,40.4,6.980500990099009,0.026064634323120117
dijkstra,1182,2.444598,40.0,3.666897,0.027785062789916992
a_star,425,2.4514480000000005,40.0,3.6771720000000006,0.02100539207458496
dijkstra,1622,3.2553979999999987,43.5,4.490204137931032,0.030892133712768555
a_star,273,3.176396999999999,41.42857142857143,4.600299103448274,0.01786041259765625
dijkstra,998,2.0669679999999997,40.0,3.1004519999999993,0.024822235107421875
a_star,250,2.0669679999999997,40.0,3.1004519999999993,0.01785445213317871
dijkstra,1120,2.7514250000000002,52.25806451612903,3.159043518518519,0.027894973754882812
a_star,274,2.75365,50.96774193548387,3.2416386075949366,0.01869344711303711
dijkstra,2225,4.191865000000001,41.2,6.104657766990292,0.03716158866882324
a_star,369,4.191865000000001,41.2,6.104657766990292,0.020191192626953125
dijkstra,4171,7.898766000000003,40.0,11.848149000000005,0.05670666694641113
a_star,1391,7.898766000000003,40.0,11.848149000000005,0.03183102607727051
dijkstra,2054,3.8005299999999993,40.0,5.7007949999999985,0.035843610763549805
a_star,563,3.8005299999999993,40.0,5.7007949999999985,0.02085423469543457
dijkstra,1338,3.3337209999999993,40.0,5.000581499999999,0.02852916717529297
a_star,65,3.347875,40.0,5.0218125,0.017267704010009766
dijkstra,335,9.263782000000003,65.0,8.551183384615387,0.018100738525390625
